date,slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
2023-10-24,jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,2176,12,22,3,5,2,4,3,10,11,1,1,2,2,29.3
2023-10-24,bookede01,Devin Booker,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,2218,13,21,3,8,3,3,1,5,8,1,0,6,4,23.7
2023-10-24,jamesle01,LeBron James,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1740,10,16,1,4,0,1,1,7,5,1,0,0,1,20.3
2023-10-24,gordoaa01,Aaron Gordon,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,2099,7,11,1,2,0,0,2,5,5,2,1,0,0,19.2
2023-10-24,murraja01,Jamal Murray,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,2055,8,13,3,5,2,2,0,2,6,0,1,1,3,18.4
2023-10-24,princta02,Taurean Prince,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1793,6,8,4,6,2,2,1,2,1,0,1,1,0,16.5
2023-10-24,curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1845,8,20,4,14,7,7,1,4,1,1,0,2,5,15.8
2023-10-24,nurkiju01,Jusuf Nurkić,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,1672,5,8,1,2,3,3,3,11,3,0,1,1,5,15.6
2023-10-24,okogijo01,Josh Okogie,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,1898,7,9,1,1,2,2,4,1,1,1,0,2,2,15.5
2023-10-24,caldwke01,Kentavious Caldwell-Pope,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,2175,8,12,2,3,2,2,1,1,1,3,1,3,5,15.2
2023-10-24,paulch01,Chris Paul,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,2053,4,15,0,6,6,7,1,5,9,2,0,1,0,14.2
2023-10-24,reaveau01,Austin Reaves,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1880,4,11,1,2,5,7,4,4,4,2,0,2,2,13.1
2023-10-24,portemi01,Michael Porter,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1808,5,13,2,9,0,0,2,10,2,2,0,0,1,12.3
2023-10-24,moodymo01,Moses Moody,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1079,4,6,2,4,1,2,1,2,0,3,1,1,1,11.6
2023-10-24,davisan02,Anthony Davis,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,2049,6,17,1,2,4,4,1,7,4,0,2,2,3,11.3
2023-10-24,kuminjo01,Jonathan Kuminga,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1208,4,8,0,0,4,6,3,3,1,2,1,2,5,9.6
2023-10-24,duranke01,Kevin Durant,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,2207,7,22,1,2,3,5,2,9,3,0,1,2,1,9.1
2023-10-24,looneke01,Kevon Looney,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1678,3,6,0,0,1,1,5,6,1,0,0,2,2,7.2
2023-10-24,reddica01,Cam Reddish,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1058,2,4,1,2,2,2,2,2,0,0,1,0,2,6.9
2023-10-24,russeda01,D'Angelo Russell,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,2171,4,12,2,5,1,2,0,4,7,1,0,3,3,6.7
2023-10-24,thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,2176,6,18,3,11,0,0,1,6,3,0,1,3,3,5.9
2023-10-24,watanyu01,Yuta Watanabe,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,1073,3,5,2,4,0,0,0,4,0,0,1,1,2,5.8
2023-10-24,woodch01,Christian Wood,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,928,3,4,0,1,1,2,1,3,0,0,0,1,1,5.2
2023-10-24,saricda01,Dario Šarić,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1202,3,11,1,3,0,0,4,3,1,0,2,0,3,5.1
2023-10-24,jacksre01,Reggie Jackson,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1444,3,8,2,5,0,0,0,3,1,1,0,2,0,4.2
2023-10-24,braunch01,Christian Braun,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1160,2,5,0,1,1,2,1,2,2,0,1,1,1,3.9
2023-10-24,eubandr01,Drew Eubanks,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,1154,1,3,0,0,2,4,2,5,2,0,3,3,3,3.7
2023-10-24,littlna01,Nassir Little,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,173,1,1,1,1,0,0,0,1,0,1,0,0,1,3.6
2023-10-24,wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1637,4,12,0,3,2,3,1,0,0,0,1,0,3,3.0
2023-10-24,gordoer01,Eric Gordon,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,1899,4,16,2,9,0,0,1,3,1,1,1,1,2,2.6
2023-10-24,goodwjo01,Jordan Goodwin,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,851,1,4,0,1,0,0,1,3,3,1,0,2,0,2.3
2023-10-24,paytoga02,Gary Payton,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,1300,0,5,0,2,1,2,0,2,2,3,0,0,1,1.7
2023-10-24,pickeja02,Jalen Pickett,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,43,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
2023-10-24,vincega01,Gabe Vincent,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1338,3,8,0,4,0,0,1,0,2,1,0,2,3,1.5
2023-10-24,josepco01,Cory Joseph,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,LOSS,222,0,0,0,0,0,0,1,0,1,0,0,0,0,1.4
2023-10-24,nnajize01,Zeke Nnaji,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,704,1,3,0,1,2,2,0,0,1,0,0,1,2,1.2
2023-10-24,hachiru01,Rui Hachimura,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,879,3,10,0,3,0,0,2,1,0,0,0,0,2,1.1
2023-10-24,watsope01,Peyton Watson,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,650,1,3,1,3,0,0,0,0,0,0,1,1,1,0.6
2023-10-24,chrisma02,Max Christie,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-10-24,gilleco01,Collin Gillespie,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-10-24,keybr01,Braxton Key,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-10-24,lewisma05,Maxwell Lewis,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-10-24,hayesja02,Jaxson Hayes,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,414,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
2023-10-24,allengr01,Grayson Allen,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,1255,0,6,0,5,0,0,3,1,2,0,0,1,2,-2.2
2023-10-25,gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,AWAY,CHICAGO BULLS,WIN,2161,12,18,2,5,5,5,0,5,10,1,2,1,0,33.1
2023-10-25,doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,WIN,2054,13,25,3,11,4,7,1,12,10,2,0,4,1,28.4
2023-10-25,barneha02,Harrison Barnes,SACRAMENTO KINGS,AWAY,UTAH JAZZ,WIN,2006,11,16,5,7,6,6,0,4,2,1,0,1,2,28.0
2023-10-25,thomaca02,Cam Thomas,BROOKLYN NETS,HOME,CLEVELAND CAVALIERS,LOSS,1508,13,21,2,5,8,11,0,3,2,1,0,1,0,27.6
2023-10-25,mitchdo01,Donovan Mitchell,CLEVELAND CAVALIERS,AWAY,BROOKLYN NETS,WIN,2144,11,21,4,10,1,1,2,3,6,4,1,0,1,27.5
2023-10-25,tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,2319,13,22,3,8,5,6,0,11,4,2,1,4,3,27.0
2023-10-25,porzikr01,Kristaps Porziņģis,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,2274,8,15,5,9,9,10,1,7,0,0,4,1,4,25.3
2023-10-25,banede01,Desmond Bane,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,LOSS,2168,11,22,5,10,4,5,0,5,5,2,1,2,1,24.9
2023-10-25,strusma01,Max Strus,CLEVELAND CAVALIERS,AWAY,BROOKLYN NETS,WIN,2338,9,17,7,13,2,2,0,12,2,1,1,0,4,23.8
2023-10-25,georgpa01,Paul George,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1898,11,17,4,7,1,1,0,3,6,3,0,4,2,22.8
2023-10-25,sabondo01,Domantas Sabonis,SACRAMENTO KINGS,AWAY,UTAH JAZZ,WIN,1928,8,14,1,2,5,7,6,6,5,1,2,3,3,22.3
2023-10-25,quickim01,Immanuel Quickley,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1680,7,11,5,7,5,6,2,4,4,1,0,2,3,21.9
2023-10-25,mccolcj01,CJ McCollum,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,WIN,2240,8,16,6,11,2,2,1,3,6,2,1,2,3,21.3
2023-10-25,zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1536,8,10,0,0,4,5,5,7,0,0,4,2,3,21.0
2023-10-25,johnsja05,Jalen Johnson,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,1765,9,13,1,3,2,4,0,7,2,2,1,0,1,20.5
2023-10-25,brownbr01,Bruce Brown,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1632,8,11,6,8,2,2,1,2,1,1,0,1,3,20.3
2023-10-25,cunnica01,Cade Cunningham,DETROIT PISTONS,AWAY,MIAMI HEAT,LOSS,2146,13,27,4,9,0,0,0,3,9,1,1,3,5,20.2
2023-10-25,halibty01,Tyrese Haliburton,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1614,9,16,2,6,0,0,0,3,11,1,2,3,1,20.0
2023-10-25,butleji01,Jimmy Butler,MIAMI HEAT,HOME,DETROIT PISTONS,WIN,2068,6,18,0,0,7,9,8,5,4,2,0,0,0,19.9
2023-10-25,tillmxa01,Xavier Tillman,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,LOSS,2022,7,16,1,5,2,2,4,8,4,3,1,0,2,19.5
2023-10-25,willima07,Mark Williams,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,WIN,1795,5,6,0,0,3,3,4,11,1,3,1,2,2,18.5
2023-10-25,adebaba01,Bam Adebayo,MIAMI HEAT,HOME,DETROIT PISTONS,WIN,1929,7,13,0,0,8,10,2,6,3,0,2,2,3,18.4
2023-10-25,kuzmaky01,Kyle Kuzma,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1492,9,18,1,4,6,6,1,1,0,0,2,0,0,18.4
2023-10-25,durenja01,Jalen Duren,DETROIT PISTONS,AWAY,MIAMI HEAT,LOSS,1909,8,11,0,0,1,3,6,8,4,0,4,4,4,18.3
2023-10-25,anthoco01,Cole Anthony,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,WIN,1445,8,12,1,2,3,3,1,7,2,0,0,0,2,18.2
2023-10-25,jonestr01,Tre Jones,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,1506,5,7,2,3,4,4,1,4,6,0,0,1,0,18.2
2023-10-25,washipj01,P.J. Washington,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,WIN,1908,12,18,1,6,0,0,1,4,2,0,0,1,4,17.9
2023-10-25,clarkjo01,Jordan Clarkson,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,1844,8,16,2,5,6,8,2,2,6,0,0,2,4,17.8
2023-10-25,leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1723,9,17,5,5,0,0,1,4,6,1,1,4,2,17.7
2023-10-25,livelde01,Dereck Lively,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,WIN,1840,7,8,0,0,2,3,5,5,1,1,1,1,4,17.6
2023-10-25,anunoog01,OG Anunoby,TORONTO RAPTORS,HOME,MINNESOTA TIMBERWOLVES,WIN,2028,7,13,4,9,2,2,0,6,1,2,3,2,2,17.5
2023-10-25,okorois01,Isaac Okoro,CLEVELAND CAVALIERS,AWAY,BROOKLYN NETS,WIN,1898,6,10,2,4,4,5,3,3,4,2,1,2,5,17.5
2023-10-25,vassede01,Devin Vassell,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,2115,9,17,1,6,4,5,1,4,3,2,0,2,2,17.5
2023-10-25,bridgmi01,Mikal Bridges,BROOKLYN NETS,HOME,CLEVELAND CAVALIERS,LOSS,2111,6,12,0,2,8,9,2,4,4,3,0,3,4,17.4
2023-10-25,schrode01,Dennis Schröder,TORONTO RAPTORS,HOME,MINNESOTA TIMBERWOLVES,WIN,1953,8,17,4,8,2,2,1,2,7,0,0,2,1,17.1
2023-10-25,goberru01,Rudy Gobert,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,1920,6,12,0,0,3,5,5,8,1,2,4,2,3,16.4
2023-10-25,roziete01,Terry Rozier,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,WIN,2061,7,16,2,7,8,12,1,4,6,0,0,3,2,16.3
2023-10-25,willizi01,Zion Williamson,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,WIN,1903,9,17,0,0,5,7,4,3,3,0,0,3,1,16.3
2023-10-25,markkla01,Lauri Markkanen,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,1896,6,15,2,6,5,6,2,8,1,2,0,1,1,15.6
2023-10-25,simonan01,Anfernee Simons,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1642,6,14,2,6,4,4,1,1,4,2,0,0,2,15.6
2023-10-25,collijo01,John Collins,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,1856,6,11,1,3,2,2,3,8,2,1,0,0,3,15.4
2023-10-25,brogdma01,Malcolm Brogdon,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1359,8,16,3,5,1,1,0,2,5,0,0,1,0,15.1
2023-10-25,capelca01,Clint Capela,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,1718,6,10,0,0,3,4,6,7,0,1,0,2,1,14.9
2023-10-25,barnesc01,Scottie Barnes,TORONTO RAPTORS,HOME,MINNESOTA TIMBERWOLVES,WIN,2223,6,16,1,4,4,6,1,7,5,2,5,4,1,14.8
2023-10-25,edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,2298,8,27,4,7,6,6,5,9,1,0,0,2,1,14.8
2023-10-25,jonesty01,Tyus Jones,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1700,7,12,2,4,0,1,1,2,6,1,1,2,1,14.8
2023-10-25,hardati02,Tim Hardaway,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,WIN,1675,5,14,3,10,4,4,2,4,4,1,0,1,0,14.6
2023-10-25,westbru01,Russell Westbrook,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1728,5,8,1,2,0,0,2,3,13,0,0,3,3,14.6
2023-10-25,barrerj01,RJ Barrett,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,2180,8,20,2,5,6,7,1,2,2,1,0,2,0,14.5
2023-10-25,hieldbu01,Buddy Hield,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1506,5,9,4,7,0,0,0,2,5,1,1,1,0,14.5
2023-10-25,stewais01,Isaiah Stewart,DETROIT PISTONS,AWAY,MIAMI HEAT,LOSS,2077,6,11,2,3,0,0,6,8,2,0,0,1,3,14.5
2023-10-25,beysa01,Saddiq Bey,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,1730,6,12,1,4,2,2,3,2,0,5,0,2,1,14.3
2023-10-25,mathube01,Bennedict Mathurin,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1550,6,15,2,6,4,4,0,4,5,2,0,2,1,14.2
2023-10-25,gallida01,Danilo Gallinari,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1030,4,7,2,2,6,6,2,1,0,0,0,0,1,14.0
2023-10-25,wagnefr01,Franz Wagner,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,WIN,1623,5,12,3,7,6,6,3,1,2,1,0,3,1,14.0
2023-10-25,derozde01,DeMar DeRozan,CHICAGO BULLS,HOME,OKLAHOMA CITY THUNDER,LOSS,1973,9,20,1,3,1,3,2,3,2,1,1,0,1,13.8
2023-10-25,smithja04,Jalen Smith,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,805,5,6,2,2,1,1,3,5,0,1,0,0,4,13.8
2023-10-25,nembhan01,Andrew Nembhard,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1296,6,9,0,1,0,0,1,3,10,0,0,2,4,13.1
2023-10-25,vucevni01,Nikola Vučević,CHICAGO BULLS,HOME,OKLAHOMA CITY THUNDER,LOSS,1917,5,8,0,2,1,1,1,8,4,3,2,4,2,12.9
2023-10-25,banchpa01,Paolo Banchero,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,WIN,1674,3,6,0,1,6,7,0,5,5,1,0,1,2,12.8
2023-10-25,johnske04,Keldon Johnson,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,1904,7,15,1,3,2,3,2,7,7,0,0,3,4,12.7
2023-10-25,sengual01,Alperen Sengun,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,LOSS,1708,6,11,0,1,2,4,2,6,6,0,0,1,4,12.7
2023-10-25,whitede01,Derrick White,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,1916,4,6,1,3,3,4,0,6,2,2,1,1,3,12.7
2023-10-25,murrake02,Keegan Murray,SACRAMENTO KINGS,AWAY,UTAH JAZZ,WIN,1781,5,13,4,9,1,1,2,6,1,1,2,0,4,12.6
2023-10-25,wrighde01,Delon Wright,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1519,3,8,1,1,1,1,1,5,6,3,0,0,1,12.6
2023-10-25,willija06,Jalen Williams,OKLAHOMA CITY THUNDER,AWAY,CHICAGO BULLS,WIN,1908,5,11,2,6,4,4,0,3,5,1,0,2,3,12.5
2023-10-25,youngtr01,Trae Young,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,2161,4,19,1,9,14,15,0,1,9,1,0,5,3,12.3
2023-10-25,giddejo01,Josh Giddey,OKLAHOMA CITY THUNDER,AWAY,CHICAGO BULLS,WIN,1907,7,14,2,3,0,0,1,5,6,0,0,3,1,12.0
2023-10-25,irvinky01,Kyrie Irving,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,WIN,2175,10,24,1,8,1,1,0,2,6,1,0,2,3,11.8
2023-10-25,baglema01,Marvin Bagley,DETROIT PISTONS,AWAY,MIAMI HEAT,LOSS,971,3,3,0,0,2,2,2,6,3,0,1,1,1,11.7
2023-10-25,ballla01,LaMelo Ball,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,WIN,1847,4,15,4,11,3,4,1,5,10,1,0,3,3,11.7
2023-10-25,robindu01,Duncan Robinson,MIAMI HEAT,HOME,DETROIT PISTONS,WIN,1326,6,10,3,5,0,0,1,1,1,0,0,0,1,11.7
2023-10-25,fultzma01,Markelle Fultz,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,WIN,1471,5,9,0,0,0,0,3,1,2,3,0,1,0,11.5
2023-10-25,sharpsh01,Shaedon Sharpe,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1709,6,14,1,6,1,1,4,2,3,1,0,0,4,11.5
2023-10-25,joneshe01,Herbert Jones,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,WIN,2286,4,8,2,3,3,5,3,5,3,1,1,3,3,11.4
2023-10-25,poeltja01,Jakob Poeltl,TORONTO RAPTORS,HOME,MINNESOTA TIMBERWOLVES,WIN,1423,3,3,0,0,1,4,3,8,1,1,1,0,1,11.4
2023-10-25,wallaca01,Cason Wallace,OKLAHOMA CITY THUNDER,AWAY,CHICAGO BULLS,WIN,1142,5,5,3,3,0,0,0,2,1,0,1,1,3,11.3
2023-10-25,colliza01,Zach Collins,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,1915,6,10,0,4,2,2,1,4,3,1,2,3,4,11.2
2023-10-25,brookdi01,Dillon Brooks,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,LOSS,1568,5,7,4,6,0,0,0,4,2,1,0,2,4,11.1
2023-10-25,joeis01,Isaiah Joe,OKLAHOMA CITY THUNDER,AWAY,CHICAGO BULLS,WIN,1297,4,8,3,6,3,4,1,4,2,1,0,2,2,11.1
2023-10-25,craigto01,Torrey Craig,CHICAGO BULLS,HOME,OKLAHOMA CITY THUNDER,LOSS,1301,4,6,3,4,0,0,4,3,1,0,0,1,2,11.0
2023-10-25,foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,UTAH JAZZ,WIN,1977,6,18,1,7,5,6,2,3,6,1,1,3,4,11.0
2023-10-25,ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,WIN,2157,7,18,0,3,5,6,0,7,6,2,0,5,3,10.9
2023-10-25,harriga01,Gary Harris,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,WIN,1017,5,8,1,4,0,0,3,2,0,0,1,0,0,10.8
2023-10-25,johnsca02,Cameron Johnson,BROOKLYN NETS,HOME,CLEVELAND CAVALIERS,LOSS,1568,5,10,1,4,1,2,2,3,3,2,0,2,1,10.6
2023-10-25,loveke01,Kevin Love,MIAMI HEAT,HOME,DETROIT PISTONS,WIN,1664,4,9,3,6,2,2,2,8,2,0,0,1,5,10.5
2023-10-25,conlemi01,Mike Conley,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,1830,4,9,1,4,2,2,1,3,3,1,1,1,1,10.3
2023-10-25,valanjo01,Jonas Valančiūnas,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,WIN,1752,4,7,2,4,2,2,0,12,1,0,1,3,1,10.3
2023-10-25,hylanbo01,Bones Hyland,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1305,6,11,3,8,2,2,0,0,3,0,0,2,4,10.2
2023-10-25,avdijde01,Deni Avdija,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1240,4,8,0,0,1,2,2,5,5,1,0,2,0,10.0
2023-10-25,willigr01,Grant Williams,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,WIN,2110,6,11,4,8,1,1,1,5,0,0,1,3,4,10.0
2023-10-25,greenjo02,Josh Green,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,WIN,1792,3,5,2,2,3,4,2,0,1,1,0,0,4,9.8
2023-10-25,williro04,Robert Williams,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1393,5,7,0,0,0,1,2,5,0,3,1,2,4,9.7
2023-10-25,bryanth01,Thomas Bryant,MIAMI HEAT,HOME,DETROIT PISTONS,WIN,950,2,5,0,0,4,5,2,4,3,1,0,1,0,9.6
2023-10-25,randlju01,Julius Randle,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,2041,5,22,3,8,1,5,4,7,7,2,0,0,3,9.6
2023-10-25,siakapa01,Pascal Siakam,TORONTO RAPTORS,HOME,MINNESOTA TIMBERWOLVES,WIN,2046,5,17,3,5,2,2,0,7,6,1,0,2,2,9.6
2023-10-25,toppiob01,Obi Toppin,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1154,4,9,2,5,1,1,1,3,1,1,0,0,0,9.6
2023-10-25,whiteco01,Coby White,CHICAGO BULLS,HOME,OKLAHOMA CITY THUNDER,LOSS,1835,4,14,2,7,5,6,1,3,4,0,0,0,3,9.6
2023-10-25,anderky01,Kyle Anderson,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,1819,3,9,0,1,1,2,2,7,5,2,0,1,0,9.5
2023-10-25,claxtni01,Nic Claxton,BROOKLYN NETS,HOME,CLEVELAND CAVALIERS,LOSS,1697,3,10,0,0,1,1,4,3,4,0,3,0,1,9.4
2023-10-25,haywago01,Gordon Hayward,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,WIN,2000,4,8,0,1,2,3,3,5,7,1,1,6,1,9.4
2023-10-25,smithde03,Dennis Smith,BROOKLYN NETS,HOME,CLEVELAND CAVALIERS,LOSS,950,4,5,2,3,0,0,2,2,1,0,0,1,1,9.4
2023-10-25,wembavi01,Victor Wembanyama,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,1399,6,9,3,5,0,1,0,5,2,2,1,5,5,9.3
2023-10-25,poolejo01,Jordan Poole,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1579,7,18,0,6,4,5,0,2,5,1,1,4,1,9.2
2023-10-25,holmgch01,Chet Holmgren,OKLAHOMA CITY THUNDER,AWAY,CHICAGO BULLS,WIN,1507,4,7,2,3,1,3,0,4,3,1,0,1,3,9.0
2023-10-25,millebr02,Brandon Miller,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,WIN,1477,5,9,3,7,0,0,0,3,2,0,0,1,3,8.8
2023-10-25,garlada01,Darius Garland,CLEVELAND CAVALIERS,AWAY,BROOKLYN NETS,WIN,1940,6,12,1,5,2,2,1,1,5,2,0,6,2,8.7
2023-10-25,vanvlfr01,Fred VanVleet,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,LOSS,2012,5,13,4,6,0,0,0,1,5,1,0,3,0,8.7
2023-10-25,kesslwa01,Walker Kessler,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,1330,4,5,0,0,0,0,4,4,0,0,1,1,3,8.6
2023-10-25,townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,2158,8,25,2,10,1,1,2,8,3,0,4,4,2,8.6
2023-10-25,turnemy01,Myles Turner,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1400,5,8,0,2,1,2,0,8,1,0,3,2,4,8.6
