date,slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
2024-03-20,dickgr01,Gradey Dick,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,1930,1,8,1,6,2,2,0,1,3,1,0,2,1,0.8
2024-03-20,portejo01,Jontay Porter,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,163,0,1,0,0,0,0,2,0,0,0,0,0,0,0.7
2024-03-20,youngth01,Thaddeus Young,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,108,0,1,0,0,0,0,0,0,0,0,2,0,0,0.7
2024-03-20,pereima01,Mãozinha Pereira,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,343,1,2,0,1,0,0,0,0,0,0,0,0,1,0.6
2024-03-20,brownmo01,Moses Brown,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,346,0,0,0,0,0,2,1,2,0,0,0,0,0,0.5
2024-03-20,moonxa01,Xavier Moon,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,346,1,3,0,1,0,0,0,0,0,1,0,1,0,0.3
2024-03-20,roddyda01,David Roddy,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,108,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3
2024-03-20,saricda01,Dario Šarić,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,313,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
2024-03-20,waterli01,Lindy Waters,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,116,0,1,0,1,0,0,0,0,1,0,1,0,1,0.3
2024-03-20,wainris01,Ish Wainright,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,108,0,0,0,0,0,0,0,0,0,1,0,0,2,0.2
2024-03-20,wrighde01,Delon Wright,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,WIN,922,1,3,0,0,0,0,0,2,1,0,0,1,1,0.2
2024-03-20,johnsja01,James Johnson,INDIANA PACERS,AWAY,DETROIT PISTONS,WIN,201,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
2024-03-20,thomais02,Isaiah Thomas,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,108,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
2024-03-20,plumlma01,Mason Plumlee,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,252,0,2,0,0,0,0,2,1,0,0,0,0,1,-0.1
2024-03-20,looneke01,Kevon Looney,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,343,1,2,0,0,0,0,0,1,1,0,0,1,3,-0.2
2024-03-20,gordoer01,Eric Gordon,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,1154,0,2,0,0,0,0,0,3,2,0,1,2,0,-0.4
2024-03-20,samanlu01,Luka Šamanić,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,247,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
2024-03-20,flynnma01,Malachi Flynn,DETROIT PISTONS,HOME,INDIANA PACERS,LOSS,201,0,2,0,2,0,0,1,1,1,0,0,1,0,-0.7
2024-03-20,kornelu01,Luke Kornet,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,549,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
2024-03-20,banede01,Desmond Bane,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,1467,2,13,2,9,0,0,0,1,4,0,1,2,1,-0.9
2024-03-20,santogu01,Gui Santos,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,222,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
2024-03-20,diengou01,Ousmane Dieng,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,247,0,1,0,1,0,0,0,1,0,0,0,1,1,-1.8
2024-03-20,greenaj01,A.J. Green,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,495,0,2,0,1,0,0,0,0,0,0,0,0,1,-1.8
2024-03-20,jonesco02,Colby Jones,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,472,0,2,0,2,0,0,1,0,1,0,0,1,2,-1.8
2024-03-20,sensabr01,Brice Sensabaugh,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,1210,2,9,0,3,0,0,1,5,1,1,0,4,1,-2.0
2024-03-20,gueyemo01,Mouhamadou Gueye,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,803,1,6,0,0,1,4,1,1,0,1,1,3,1,-2.7
2024-03-20,hylanbo01,Bones Hyland,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,433,0,4,0,3,0,0,0,1,2,0,0,1,2,-2.9
2024-03-20,joeis01,Isaiah Joe,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,849,0,4,0,3,0,0,0,1,0,0,0,0,1,-2.9
2024-03-21,jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,2354,12,23,0,1,6,7,2,12,11,1,0,1,1,30.6
2024-03-21,dosunay01,Ayo Dosunmu,CHICAGO BULLS,AWAY,HOUSTON ROCKETS,LOSS,2365,13,18,5,6,4,4,0,2,2,3,0,2,2,29.8
2024-03-21,doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,2080,11,23,4,10,8,12,1,8,8,4,0,4,2,28.6
2024-03-21,portemi01,Michael Porter,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,2213,13,16,3,6,2,2,1,7,0,0,0,1,1,26.4
2024-03-21,gaffoda01,Daniel Gafford,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,1636,10,11,0,0,4,6,3,4,5,1,0,1,2,25.5
2024-03-21,lillada01,Damian Lillard,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,2238,11,22,5,11,3,3,0,3,12,2,0,4,3,25.1
2024-03-21,murrade01,Dejounte Murray,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,2383,11,26,3,10,4,5,2,7,10,4,0,5,2,23.5
2024-03-21,bookede01,Devin Booker,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,1913,10,15,6,8,4,4,1,3,2,0,0,2,5,22.5
2024-03-21,kuzmaky01,Kyle Kuzma,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,2194,13,22,3,6,2,2,0,6,5,1,1,5,2,22.0
2024-03-21,gordoer01,Eric Gordon,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,1446,8,11,4,6,1,1,0,1,5,2,0,0,1,21.9
2024-03-21,brookdi01,Dillon Brooks,HOUSTON ROCKETS,HOME,CHICAGO BULLS,WIN,1513,10,13,3,6,0,0,0,2,1,2,0,0,0,21.2
2024-03-21,claxtni01,Nic Claxton,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,2042,9,12,0,0,4,6,4,5,1,2,0,1,3,21.2
2024-03-21,brunsja01,Jalen Brunson,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,2044,11,23,2,7,2,3,0,2,9,0,0,0,1,20.4
2024-03-21,landajo01,Jock Landale,HOUSTON ROCKETS,HOME,CHICAGO BULLS,WIN,1613,6,10,0,0,5,5,7,5,5,0,2,3,2,19.9
2024-03-21,harteis01,Isaiah Hartenstein,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,1588,8,10,0,0,4,5,3,5,3,1,2,3,6,18.5
2024-03-21,banchpa01,Paolo Banchero,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,2009,9,18,2,5,0,2,1,9,11,1,0,4,2,17.5
2024-03-21,murphtr02,Trey Murphy,NEW ORLEANS PELICANS,AWAY,ORLANDO MAGIC,LOSS,1760,6,10,3,5,6,7,1,2,0,1,0,1,0,17.3
2024-03-21,greenja05,Jalen Green,HOUSTON ROCKETS,HOME,CHICAGO BULLS,WIN,2401,10,22,4,12,2,4,0,4,3,1,1,2,0,16.8
2024-03-21,huntede01,De'Andre Hunter,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,2013,5,13,3,7,9,10,0,4,1,2,0,1,2,16.6
2024-03-21,bridgmi01,Mikal Bridges,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,2009,9,19,6,14,0,0,2,4,2,1,0,2,2,16.5
2024-03-21,foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,2207,10,30,5,15,0,0,3,2,5,6,1,3,4,16.3
